city,distance_from_home
Mumbai,837.1857087990927
Delhi,1738.6388557826444
Kolkata,1552.6378233436667
Chennai,295.34010730466787
Hyderabad,500.04772863048214
Ahmadabad,1231.680816425481
Haora,1559.2544595374122
Pune,732.4302206015487
Surat,1039.9195623793303
Cawnpore,1521.0014728413628
Jaipur,1555.2482217627694
Lucknow,1576.5320601576095
Nagpur,921.9735714467878
Patna,1609.9471582850406
Indore,1093.4103604809561
Vadodara,1133.1428990193776
Bhopal,1137.9424820122688
Coimbatore,227.8260499346457
Ludhiana,1996.112203902958
Agra,1572.8346249575716
Kalyan,839.185478509449
Vishakhapatnam,810.9548839332289
Kochi,357.90106097622527
Nasik,876.3237163628668
Meerut,1774.9808967031222
Faridabad,1712.2554150071694
Varanasi,1482.485530834861
Ghaziabad,1737.3095866240674
Asansol,1547.374343961873
Jamshedpur,1419.7915625325147
Madura,342.87346502262943
Jabalpur,1157.547700207219
Rajkot,1257.6455710926289
Dhanbad,1519.8797413263794
Amritsar,2085.7927577887267
Warangal,598.3047457795849
Allahabad,1453.1240661512538
Srinagar,2356.7897722478165
Bezwada,513.3415932550715
Aurangabad,802.8332826868904
Bhilai,1001.2725628764812
Solapur,549.7921958151203
Ranchi,1413.6339183181374
New Delhi,1730.946711984087
Jodhpur,1549.388902131347
Guwahati,2083.40417972067
Chandigarh,1967.173194151004
Gwalior,1469.356245528761
Thiruvananthapuram,498.92097587344585
Calicut,272.3089465933166
Trichinopoly,268.78891959489505
Hubli,372.8463976790708
Mysore,122.02828320754827
Raipur,1012.1009574698202
Salem,158.84347515340596
Jalandhar,2043.9244459926356
Bhubaneshwar,1195.5763392998588
Kota,1363.677683314796
Jhansi,1385.7980844881756
Bareilly,1713.2323684652736
Aligarh,1652.9267156546373
Bhiwandi,850.0796800027493
Jammu,2203.7921744421833
Moradabad,1761.7082149102514
Mangalore,294.1705663428285
Kolhapur,547.2761162567762
Amravati,883.4317409947835
Dehra Dun,1921.9014146562545
Malegaon,900.0753753997724
Nellore,309.08245755900356
Gorakhpur,1642.0910332314234
Shimoga,241.22924653354445
Tiruppur,210.52733392131913
Raurkela,1282.241477512049
Nanded,686.6571289711114
Belgaum,459.45750762843977
Sangli,537.0270571360759
Chanda,796.5892157355705
Ajmer,1523.1768722735003
Cuttack,1215.107164802214
Bikaner,1724.3511095944828
Bhavnagar,1132.4757110032845
Hisar,1803.730826456898
Bilaspur,1121.0850589350762
Tinnevelly,469.1748226298116
Guntur,484.8693890351788
Shiliguri,1900.1447902833675
Ujjain,1146.5899042435808
Davangere,242.91041149671037
Akola,858.576974347964
Saharanpur,1882.396218760963
Gulbarga,491.1280090513097
Bhatpara,1593.6653642734368
Dhulia,926.4720424164019
Udaipur,1348.911743447232
Bellary,251.0526445827216
Tuticorin,463.25812563125487
Kurnool,320.4722910182373
Gaya,1525.2172587682808
Sikar,1640.318285746224
Tumkur,63.82409846232885
Quilon,462.9767808686447
Ahmadnagar,742.9879416182054
Bhilwara,1404.4128747684556
Nizamabad,633.4372216808453
Parbhani,702.4334705127008
Shillong,2048.872751878247
Latur,610.1987439672843
Rajapalaiyam,392.6503034689974
Bhagalpur,1679.0139892349828
Muzaffarnagar,1828.6878838833723
Muzaffarpur,1669.9053671937172
Mathura,1608.6828869109418
Patiala,1925.0425626527524
Saugor,1210.8468446374325
Brahmapur,1045.2762914205011
Shahjanpur,1668.694471255435
Rohtak,1766.709760417811
Sambalpur,1161.349785010055
Ratlam,1179.614572002276
Firozabad,1572.2693154184217
Rajahmundry,639.2963821684846
Barddhaman,1574.7397652775362
Bidar,548.0755811545965
Rampur,1760.965889027593
Kakinada,669.8225907098786
Panipat,1820.2784691149263
Khammam,552.7580278103773
Bhuj,1401.8191621852898
Karimnagar,629.8335321533801
Tirupati,215.12583871304366
Hospet,285.85367754943695
Mandya,82.36264339028057
Alwar,1616.7318454494002
Aizawl,1992.3696549177523
Bijapur,471.7333920425967
Imphal,2163.467621803765
Etawah,1536.9923102979405
Raichur,359.2137525161458
Pathankot,2145.667862921166
Chirala,438.31830953877835
Sonipat,1775.7570216224283
Mirzapur,1446.7619754842585
Hapur,1746.5971243359527
Porbandar,1276.224852789813
Bharatpur,1580.9964549528386
Puducherry,272.0520599944837
Karnal,1851.2955868191589
Nagercoil,529.9794956380714
Tanjore,298.68550973465045
Pali,1486.7819580799332
Agartala,1881.115241206114
Ongole,392.84120042614614
Puri,1169.2265710793497
Dindigul,290.493579517183
Haldia,1497.9674611972725
Bulandshahr,1709.7932605442938
Purnea,1758.4431168996207
Proddatur,225.2116128378692
Gurgaon,1714.8350774742457
Burhanpur,934.3898277374515
Ghandinagar,1255.9863402754777
Machilipatnam,529.0179515734121
Bhiwani,1760.104823350088
Nandyal,299.134507397501
Bhusaval,909.7082416024944
Bahraigh,1677.4054535849966
Tonk,1470.8188614748046
Sirsa,1847.8034385822004
Vizianagaram,854.6750255572704
Vellore,172.61548393011176
Alleppey,405.1913138161906
Shimla,2008.0750827791946
Medinipur,1451.0684527880608
Hindupur,89.97762304073655
Baramula,2373.808111289738
Fatehpur,1468.911047743389
Dibrugarh,2416.03838667804
Sitalpur,1656.635152383589
Navsari,1002.2253522702116
Budaun,1674.9330799490904
Cuddalore,277.27522523062396
Haripur,2060.5988359040434
Conjeeveram,234.5451302492886
Fyzabad,1599.6766749904766
Silchar,2067.1924676326803
Ambala,1922.7045124947156
Krishnanagar,1633.8483400287932
Kolar,64.77538040749029
Kumbakonam,297.6433690471301
Tiruvannamalai,184.81875704583337
Pilibhit,1750.5777703463682
Abohar,1928.7138563863357
Port Blair,1656.7617580116182
Alipur Duar,1952.2790445144271
Hathras,1620.5256874249023
Valparai,300.0743954370656
Kohima,2232.409502063338
Gangtok,1963.2851210295753
Panaji,490.84335694183227
Itanagar,2290.6515767753685
Daman,964.9381704577639
Silvassa,941.6127347193463
Dispur,2081.969806201614
Kavaratti,598.9994058675545
Aurangabad,1490.0204694500615
Karur,230.5674961824364
Jorhat,2312.5744574261635
Sopur,2383.15499134766
Tezpur,2195.314732039789
Diu,1106.693243090371
